clade_name	NCBI_tax_id	SRS150038	SRS149973	SRS149696	SRS149647	SRS149585	SRS149492	SRS149334	SRS149286	SRS149237	SRS149190	SRS149084	SRS148979	SRS148826	SRS148777	SRS148730	SRS148520	SRS148414	SRS148367	SRS148287	SRS148262	SRS148205	SRS148193	SRS148100	SRS147937	SRS147871	SRS147745	SRS147718	SRS147670	SRS147547	SRS147442	SRS147386	SRS147338	SRS147281	SRS147184	SRS147128	SRS147106	SRS147057	SRS146878	SRS146866	SRS146830	SRS146797	SRS146750	SRS145509	SRS144765	SRS144707	SRS144621	SRS144427	SRS144402	SRS144306	SRS144237	SRS144144	SRS144121	SRS144096	SRS144026	SRS144000	SRS143885	SRS143872	SRS143759	SRS143684	SRS143409	SRS143360	SRS143141	SRS143094	SRS142940	SRS142907	SRS142664	SRS142608	SRS142551	SRS142483	SRS140657	SRS105148	SRS105121	SRS105074	SRS104968	SRS104921	SRS104842	SRS104711	SRS104653	SRS104368	SRS104320	SRS104291	SRS104177	SRS104093	SRS104045	SRS103983	SRS102814	SRS101445	SRS101388	SRS101280	SRS100033	SRS098860	SRS098735	SRS098624	SRS098567	SRS098482	SRS098071	SRS098057	SRS097972	SRS097918	SRS097907	SRS079308	SRS078738	SRS078677	SRS078431	SRS078254	SRS078223	SRS078003	SRS077922	SRS077861	SRS077639	SRS077549	SRS077520	SRS077447	SRS077390	SRS077245	SRS077104	SRS077022	SRS076926	SRS076874	SRS076821	SRS076770	SRS075993	SRS075959	SRS075876	SRS075819	SRS075771	SRS075445	SRS075410	SRS075353	SRS075090	SRS075033	SRS074976	SRS074682	SRS074598	SRS065542	SRS065310	SRS065099	SRS064937	SRS064493	SRS064449	SRS064329	SRS064260	SRS064219	SRS064158	SRS063999	SRS063603	SRS063485	SRS063246	SRS062931	SRS058808	SRS058730	SRS058261	SRS058053	SRS057886	SRS057619	SRS057490	SRS056951	SRS056537	SRS056447	SRS056113	SRS056090	SRS055450	SRS055401	SRS055378	SRS054995	SRS054653	SRS054430	SRS054196	SRS053917	SRS053895	SRS053630	SRS053584	SRS052876	SRS052604	SRS052095	SRS052061	SRS051941	SRS051930	SRS051378	SRS051244	SRS051228	SRS050799	SRS049392	SRS049318	SRS049268	SRS047634	SRS047590	SRS047265	SRS047126	SRS047113	SRS047100	SRS045763	SRS045588	SRS045313	SRS045197	SRS045015	SRS044448	SRS044366	SRS044230	SRS043867	SRS043772	SRS043755	SRS043729	SRS043454	SRS043083	SRS043018	SRS042984	SRS042307	SRS024649	SRS024561	SRS024504	SRS024355	SRS024289	SRS024144	SRS024119	SRS024087	SRS024021	SRS023964	SRS023841	SRS023538	SRS023358	SRS022980	SRS022883	SRS022725	SRS022536	SRS022281	SRS022149	SRS022083	SRS021960	SRS021477	SRS020862	SRS020406	SRS020340	SRS020283	SRS019980	SRS019906	SRS019798	SRS019591	SRS019494	SRS019443	SRS019387	SRS019360	SRS019333	SRS019276	SRS019225	SRS019176	SRS019128	SRS019077	SRS019028	SRS018975	SRS018929	SRS018826	SRS018802	SRS018778	SRS018750	SRS018691	SRS018665	SRS018616	SRS018602	SRS018573	SRS018513	SRS018479	SRS018394	SRS018337	SRS018157	SRS018061	SRS017788	SRS017757	SRS017634	SRS017445	SRS017387	SRS017330	SRS017304	SRS017227	SRS017088	SRS017025	SRS016876	SRS016665	SRS016474	SRS016393	SRS016331	SRS016200	SRS016139	SRS016092	SRS016071	SRS016043	SRS015989	SRS015947	SRS015899	SRS015803	SRS015755	SRS015692	SRS015650	SRS015596	SRS015574	SRS015470	SRS015440	SRS015378	SRS015308	SRS015278	SRS015215	SRS015158	SRS015128	SRS015063	SRS015044	SRS014941	SRS014894	SRS014690	SRS014578	SRS014524	SRS014476	SRS014402	SRS013949	SRS013938	SRS013836	SRS013663	SRS013533	SRS013252	SRS012989	SRS012922	SRS011343	SRS011255	SRS011152	SRS011126	SRS011098
g__Alloprevotella	2|976|200643|171549|171552|1283313	0	0	0	0.00481	0.73036	0	0	0.8772	0.03111	0	0	0	0	0	0.14798	0.00175	0	0.05329	0	0	2.81243	0.37558	0	0	0	0.09708	0.06687	0.00144	0.35664	0.07399	1.37308	0.0434	0.00115	0.01141	0.06695	0.01888	0	0.38443	0	0	0.02077	0	0	0.02864	0.00458	1.54489	0	0	0.00055	0.07977	0.03219	0.29297	0.35804	0.71602	0.63308	0.67803	0.47117	0.0001	0.01779	0	0	0	0	0	0	0.9621	0	0.04045	0.11957	0	0.02436	0.01987	0.39398	0	0	0.87276	0.00438	0.11043	0	0	0.01539	0.02619	0.03173	0	0.96681	0	6.06936	0.00954	0.5277	0.00887	0	0	0.03571	0.01332	0.00663	0	0	0.00885	0	0.00105	0.12741	0.00605	0.19671	0.01558	0.74901	0.62356	0.67355	0.00932	0	1.14294	0.91718	0.65589	0	0.01175	0.00399	0	3.54957	0	0.03343	0.00681	0	0	0	0	0.0284	0.00212	0	0	0.00263	0.01597	0.06763	0.13744	0.14908	0	0.95987	0	0.00108	0.37904	0	0.00589	0.15606	1.23242	0	0	0.02675	4.53776	0.09085	0.01031	0	1.22721	0.00798	0.00028	0.28348	0.22937	0	0.00179	1.62506	0.05706	0.04274	0.03291	0	0	2.24435	0.1994	0	0	0.59797	0.0116	0.01331	0	0	0.08904	0	0.57109	0.16325	0.01942	0	0.01476	0.05855	0.13792	0	0.00483	0	0.20358	0.37323	4.04598	0.13438	0	0.00026	1.20542	0.32465	0.0812	0.00884	0.05355	0.92121	0.01945	0.00898	0	0.00158	0	0	0.00225	0.02206	0.00481	1.63559	0	0.1256	0.0679	0	0	0.20241	0	1.24755	0.61239	0.38547	0.48492	0.00249	0.69148	0	0	0.24549	0.00384	0.26051	0.00844	0	0.30869	0.74938	0.7567	0.00929	0.11096	0.00154	0	0.07625	1.80997	0.05202	0.12666	0	0	0	0	0	0.1098	0.11837	0.27863	0.13842	0.00458	0.40522	0.54081	0.5836	0	0.03438	3.93236	0.00144	0.00866	0.02855	0	0.03761	0	0.00556	0.00816	3.8763	4.90279	0.23628	0.42775	1.33432	0.4894	2.17362	2.22619	3.22544	0.0096	4.63057	0	0.17001	2.705	0.06327	0.07675	0	0.14888	0.48544	0.25363	0.36911	0	0	0	0.06951	0.12069	0	0	0.00456	0.72576	0.50727	0.17314	0	0.00233	0.0017	0.06018	0.05068	0	0	0	0.11192	0	0.02506	0	0.04104	0.00064	0	0.03227	0	0.02334	0.04294	0.02861	0.2664	0.00625	2.6913	2.88499	0.81177	0.00867	0	0	0.29354	0.05536	0	0.17834	0.01375
g__Paraprevotella	2|976|200643|171549|171552|577309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Prevotella	2|976|200643|171549|171552|838	0	0.12968	0.05474	0.16979	0.18111	0.32187	1.80285	0.95168	0.02827	1.01178	0	0.0214	0	0.0213	0.16821	0.14051	0.06333	0.21035	0.15111	0.33438	1.48334	1.06099	0.19279	0.01326	0.16544	1.08385	0.64828	0.8292	6.29121	0.05763	2.39883	0.21186	2.69841	0.09995	1.31551	1.89918	0.04344	1.44954	0.62489	0.56347	0.59321	0.09488	0.43584	0.23241	0.40759	2.23587	0	0.00238	0.09268	0.81596	0.03832	2.15258	2.57311	1.56093	1.38391	2.73335	0.20286	0.46457	0.81238	0.64591	0.00326	0.00605	0.0691	1.03662	0.00115	3.78195	5.67488	1.11377	1.4451	0	0.26259	0.25435	1.76555	0.01602	0.20281	3.84374	0.60507	2.4767	0.01123	0.12325	1.54448	0.25603	0.27413	0.98895	2.75302	0.31583	3.79517	0.14669	0.31365	0.77567	0.20228	0.58662	0.68749	0.95667	0.70266	0.37006	0.0059	0.43118	0.1283	2.143	0.09153	0.3343	0.77322	1.15704	0.05742	2.00712	2.55103	1.87917	0.6636	0.40572	1.04417	1.89282	0.08321	0.0288	1.26528	0.0492	0.40832	0.71436	0.11835	1.57903	0.05881	0.62997	0.1198	0.13505	1.39317	0.35281	0	0.00139	0.51012	0.03023	0.20638	1.12799	0.25127	0.09332	1.17801	0.34203	1.14802	0.23058	0	1.01778	4.78458	3.24177	10.13435	0.63076	2.39767	4.95122	1.00881	0.4563	4.04186	2.93145	0.02357	0.00811	5.15165	0.2612	0.08536	0.92702	4.24152	0.47622	0.58558	0.64389	0.00186	1.18867	2.28414	3.32973	0.01669	0.15036	2.20169	0	0.13486	0.00582	0.01235	0.15693	0.3832	3.0396	2.39272	1.84681	1.46916	2.01618	0.74296	3.12853	0.04974	0.08631	0.04233	10.45109	6.59941	10.1427	1.75621	0.09818	0.41056	3.28722	0.3311	3.33019	0	11.68616	2.34954	0.55279	0.88332	0.47793	0.0147	0.37072	0.05712	0.08793	0.92083	10.77268	1.60185	0.43985	0.48359	0.00407	3.49904	1.93787	0.91626	2.43497	2.03398	2.04456	9.94123	12.08236	0.07829	6.18755	5.31125	0.25546	2.66574	7.84503	5.45961	5.00286	2.19881	3.33772	8.27592	1.35802	0.98452	0.7023	0.05124	0.21977	0.27912	6.13612	4.86179	0.72372	0.6012	0.32157	0.41687	0	0.37396	0	0	3.92229	0.26954	1.27999	0.46795	0.30818	1.6474	0.02011	0.00469	5.77475	0.37446	0.45129	1.2057	0.04172	1.48356	0.00503	0.54284	0.74293	7.87881	9.5156	1.42928	0.47253	0.92258	0.09086	9.39866	9.20229	5.78145	0.1522	15.7574	0.18434	0.76633	10.18325	0.59313	0.15986	2.681	0.43096	2.65235	0.41074	0.38749	0.00923	0.07694	0.00927	0.82443	1.44063	0.14166	0.03245	0.03445	0.3988	0.16472	2.40061	0.33422	0.27295	2.45127	0.23302	0.16753	0	0.25743	0.38003	6.55558	0.01165	0.65331	0.01136	0.95125	0.3687	0.07325	1.20383	0.03855	0.16721	3.70618	5.97092	0.18048	0.10993	21.01298	12.74776	4.63083	2.54443	2.84738	0.00583	0.73584	10.32525	0.77887	0.67589	0.40196
g__Alistipes	2|976|200643|171549|171550|239759	0	0	0	0	0.00227	0	0	0.00535	0.02506	0	0	0	0	0	0	0	0	0	0	0	0.0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00128	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149	0	0	0	0	0	0	0	0	0	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01215	0.00878	0	0	0	0	0	0	0	0.0003	0	0	0.00238	0	0	0.00089	0.00089	0.0009	0.00305	0	0	0	0.02338	0	0	0	0	0	0.00085	0.02	0	0	0	0	0.00197	0	0	0	0.00265	0	0.02409	0	0.00247	0	0	0.00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0	0	0	0	0	0	0	0	0	0	0.03611	0	0.15005	0	0	0	0	0	0	0	0	0	0	0.00188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238	0	0.19502	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00273	0	0.00516	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14102	0	0	0	0	0	0	0	0	0	0	0	0	0.00238	0.00328	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0.00898	0	0	0	0	0	0	0	0.08866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20808	0	0	0	0	0	0
g__Parabacteroides	2|976|200643|171549|2005525|375288	0	0	0	0	0	0	0	0.00543	0.00795	0	0	0	0	0	0	0	0	0	0	0	0.00967	0	0	0	0	0	0	0.00677	0	0	0	0	0	0	0	0	0.00122	0.0001	0	0	0	0	0	0	0	0	0	0.00694	0	0.02373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00346	0.00026	0	0	0	0	0	0	0	0.00177	0	0	0	0	0	0	0	0	0	0	0	0	0.00873	0	0	0	0	0	0	0.00369	0	0	0	0	0	0	0	0.00027	0.00584	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29804	0	0.02202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00223	0	0	0	0	0	0	0	0	0.00271	0	0	0	0	0	0	0	0	0.09577	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00534	0	0.14006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05727	0	0	0	0	0	0
g__Tannerella	2|976|200643|171549|2005525|195950	0	0	0	0.00335	0	0	0.00224	0.19764	0.02414	0.56546	0	0.01286	0	0	0.17601	0.09921	0	0.00759	0.08128	0.13179	1.42229	0.32931	0	0.00788	1.36195	0	0.00068	0	2.10935	0.03108	0.56637	0	0.11233	0.0027	0.60647	0.14077	0.00593	0.36362	0.00263	0.00505	0.29205	0.00736	0	0	0.02309	0.59476	0.00177	0.00427	0.03734	0.46303	0	0.35995	0.33292	1.16985	1.14805	2.98559	0.00259	0.49577	0.49429	0	0	0	0.03679	0	0.00861	0.37683	0	0.94353	2.47532	0	0.10709	0.10131	0.5285	0.02177	0	1.09401	1.9881	0.51371	0	0.0074	1.39644	0.01267	0.04821	0.00599	0.2513	0.01689	3.20645	0.30167	0.16155	0.04262	0.05684	0.02324	0	0.27051	0.62702	0.02371	0.07343	0.0247	0.00103	0.0153	0.41023	1.14764	0.29744	0.25048	0.01017	0.05304	4.97866	2.52251	0	0.02768	0.09472	1.05981	0.01041	0.04716	3.18582	0.00042	0.12787	0	0.03115	1.41933	0	0	0.01078	0.00891	0.20512	0	0	0.00124	0.00135	0.06565	0	0.57188	0.29315	0	1.76351	0.78461	0.32004	0.0066	0	0.15283	0.08658	2.21053	0	0.1697	2.87475	2.07508	0.40406	0	0.13934	1.0451	0.00255	0.0043	1.63695	0.00822	0	0.01035	0.01838	0.18638	0.17966	0.1267	0	0.59591	0.20119	5.59181	0	0.00251	0.00119	0.00467	0.13303	0.00067	0	0.00015	0.84814	3.34488	1.3006	0.91965	0.30839	0.55345	0.15198	0.4563	0.04225	0.0012	0.63349	1.982	0.69108	1.51309	0.56148	0.08882	0	0.52999	0	0.16535	0.00166	0.21224	0.03358	0.32256	0.27963	0	0.01671	0	0.54338	0.02444	0	0.06023	0.154	0.24715	0.20644	0	0.35735	0.42764	0.04999	0.67608	3.65999	0.74668	7.39584	5.90991	0.00144	0.13534	0.47582	0	0.21578	3.09747	1.44955	2.16916	0.71994	2.6714	0.60503	0.18204	0.03506	0.44786	0.00115	0	0.00055	3.62602	0.98886	0.001	0.01337	0	0.01935	0	0	0	0.00108	0.87044	0	0.14535	0.42251	0.00627	1.03004	0.06234	0	2.21571	0	0	1.51962	0.15862	1.28228	0	0	0	1.21431	1.82287	0.57967	0.28121	0.17881	0.02294	2.11507	2.56281	0.95889	0.02572	0.21648	0	1.57409	0.41757	0.021	0	0.78388	0.34657	0.63012	0.33424	0.77194	0	0	0	0.22994	0.20574	0	0	0.00375	0.0085	0.03901	0.00087	0.55309	0.49285	0.94178	0.00844	0.01321	0	0.06006	0.05841	0.33647	0.00054	0.89362	0	0.55383	0.44155	0.01312	0.02721	0.14771	0.04833	0.74017	0.41118	0.01065	0	1.36931	3.84738	0.46022	3.41688	0	0.00752	0.21835	0.89368	0.17415	0.60865	0
g__Capnocytophaga	2|976|117743|200644|49546|1016	0	8.60207	24.07545	6.64561	2.90797	2.61056	3.18993	6.69117	2.90613	2.70786	2.42763	1.53251	1.52398	3.13822	8.08001	9.40798	1.18767	4.51575	2.62143	4.02025	7.39732	24.33028	5.60045	1.82822	7.02019	3.68495	1.84929	6.37585	8.97745	5.18295	22.15481	1.20852	12.74527	8.11715	7.44939	11.50914	1.81533	5.47041	5.37689	4.2118	4.46463	1.05616	6.52452	4.29662	10.21803	8.60566	5.69946	7.57686	13.54651	2.18909	0.92326	4.28507	5.89072	5.163	4.48958	14.20578	1.52696	5.21379	2.481	0.52721	2.41017	4.17778	5.95768	0	2.49132	6.72832	7.46491	6.95834	14.60337	0.97623	10.46875	12.56995	4.76425	5.47917	3.94596	8.24605	13.63026	8.44731	1.95996	9.6465	4.25558	4.34062	3.05752	1.29281	9.54104	4.06413	6.71709	5.5923	9.50087	5.6831	3.35448	8.81301	11.76102	11.83306	3.86837	4.35975	10.87155	9.55473	4.15768	8.25017	9.35219	5.97187	8.45725	2.96825	7.33449	3.46907	8.91569	9.00573	8.51729	3.21062	5.58827	12.585	2.00112	7.97194	10.00033	1.05463	7.05609	0.18549	6.85455	6.40944	5.06476	6.50245	4.12298	5.05273	8.54785	8.14211	18.62071	25.00834	5.31646	1.8434	12.46004	4.71858	5.02631	3.96608	15.88094	9.27932	10.72333	11.2622	0.37447	6.50374	0.91232	9.0907	1.04972	3.9665	19.20383	18.39081	11.21312	12.15091	5.13973	14.98058	4.47619	5.09692	7.07838	6.04004	5.67332	8.01194	6.82623	12.67905	14.15791	10.35509	14.07018	27.0003	8.12073	13.48966	1.60075	2.2226	9.11613	2.04598	10.65334	3.33768	2.20314	9.62265	29.45975	13.6188	11.9585	12.22277	13.34887	14.25356	15.82137	14.20409	11.22438	5.40984	8.54475	18.48063	6.96208	18.79308	2.64615	12.89195	3.90559	18.91008	1.85566	4.93219	5.79608	1.96331	17.11276	5.4068	5.05958	1.43906	9.07169	1.34654	15.52454	12.747	18.44141	1.79248	5.26156	9.79775	15.70528	0.18083	17.43184	18.50621	10.3118	15.97661	7.79617	9.43546	8.10565	10.24967	4.52644	13.13354	31.69786	10.1121	5.42549	11.99146	8.10364	14.21217	12.22512	11.91551	7.44549	2.7352	7.0634	18.93602	2.81331	7.43538	1.70686	4.94674	12.01771	21.19328	10.25369	6.12701	6.49449	5.49276	1.6768	2.44063	2.13605	11.07648	13.1833	3.23741	10.95623	4.10709	25.78595	9.34686	1.02963	14.58244	2.43144	3.01705	11.35419	7.93615	14.37655	14.4221	5.91386	8.43832	8.43984	7.94942	24.53353	1.71271	23.894	9.37293	11.48723	9.41938	6.29987	7.21788	3.72986	0.58214	2.51153	19.92202	0.47859	2.15057	25.43596	16.10027	6.16724	5.28488	9.36842	1.72907	5.14883	5.10372	3.22085	6.7192	13.57914	1.97131	6.06735	14.88359	8.51531	13.98193	0.50558	7.67954	13.71091	4.46214	3.10898	0.72681	7.171	11.17305	5.56495	11.47553	8.78548	2.64643	15.74257	5.32623	6.13108	14.52388	8.91263	5.01485	8.06564	6.0309	6.0306	2.13004	4.30915	5.91759	12.28159	15.31335	6.60517	13.12023	10.24234	19.43004	6.49987	19.17476	8.08873
g__Cloacibacterium	2|976|117743|200644|49546|501783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0.00358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01926	0.02006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00861	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Chlamydia	2|204428|204429|51291|809|810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00497	0	0	0	0	0	0	0	0	0	0
g__Anaerolineaceae_unclassified	2|200795|292625|292629|292628|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19291	0.0147	0	0.00381	0	0	0	0	0	0
g__Bacillus	2|1239|91061|1385|186817|1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
